Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
106,:,1612291653.446,4.314,0,223,0,0,2289609983,0.125,1,0.8
112,:,1612291653.559,4.236,0,223,0,0,384799037,0.0625,1,0.9
104,:,1612291653.426,4.452,0,223,0,0,3543305936,0.0625,5,0.8
107,:,1612291653.454,4.434,0,223,0,0,1501843923,0.125,5,0.9
113,:,1612291653.582,4.368,0,223,0,0,1395720285,0.0625,1,0.9
108,:,1612291653.463,4.566,0,223,0,0,4017802264,0.015625,5,0.8
114,:,1612291653.591,4.447,0,223,0,0,4173556719,0.0625,5,0.95
103,:,1612291653.319,4.726,0,223,0,0,1111384852,0.125,25,0.8
121,:,1612291653.722,4.366,0,223,0,0,2289609983,0.25,1,0.9
116,:,1612291653.63,4.492,0,223,0,0,733348321,0.03125,5,0.95
118,:,1612291653.66,4.49,0,223,0,0,107577988,0.015625,5,0.95
105,:,1612291653.434,4.729,0,223,0,0,4047805392,0.0625,25,0.95
119,:,1612291653.673,4.497,0,223,0,0,733348321,0.0625,5,0.95
120,:,1612291653.696,4.491,0,223,0,0,991818103,0.5,5,0.8
122,:,1612291653.75,4.45,0,223,0,0,1395720285,0.125,5,0.9
109,:,1612291653.471,4.761,0,223,0,0,90715284,0.0625,25,0.95
110,:,1612291653.479,4.76,0,223,0,0,1501843923,0.0625,25,0.8
111,:,1612291653.52,4.73,0,223,0,0,1395720285,0.5,25,0.8
123,:,1612291653.785,4.503,0,223,0,0,2289609983,0.0625,5,0.9
115,:,1612291653.614,4.734,0,223,0,0,4173556719,0.125,25,0.95
117,:,1612291653.649,4.715,0,223,0,0,4173556719,0.015625,25,0.9
125,:,1612291653.947,4.422,0,223,0,0,3602412539,0.25,5,0.8
127,:,1612291653.99,4.407,0,223,0,0,733348321,0.25,1,0.9
128,:,1612291654.162,4.335,0,223,0,0,3390822559,0.5,1,0.95
126,:,1612291653.959,4.637,0,223,0,0,1111384852,0.5,25,0.9
124,:,1612291653.806,4.936,0,223,0,0,3543305936,0.5,25,0.9
131,:,1612291657.534,4.291,0,223,0,0,1111384852,0.5,1,0.95
134,:,1612291657.76,4.302,0,223,0,0,1953635580,0.25,1,0.9
129,:,1612291657.412,4.738,0,223,0,0,4017802264,0.03125,25,0.8
130,:,1612291657.491,4.746,0,223,0,0,4047805392,0.015625,25,0.9
135,:,1612291657.794,4.465,0,223,0,0,240309497,0.03125,1,0.95
132,:,1612291657.636,4.65,0,223,0,0,1501843923,0.0625,25,0.95
137,:,1612291657.887,4.429,0,223,0,0,1111384852,0.125,5,0.9
142,:,1612291658.058,4.306,0,223,0,0,991818103,0.25,1,0.9
133,:,1612291657.649,4.815,0,223,0,0,4017802264,0.5,25,0.8
141,:,1612291658.045,4.426,0,223,0,0,107577988,0.03125,5,0.95
144,:,1612291658.151,4.335,0,223,0,0,3602412539,0.25,1,0.9
145,:,1612291658.162,4.337,0,223,0,0,1111384852,0.25,1,0.8
136,:,1612291657.817,4.779,0,223,0,0,733348321,0.25,25,0.95
143,:,1612291658.122,4.483,0,223,0,0,4047805392,0.015625,5,0.8
147,:,1612291658.187,4.427,0,223,0,0,4173556719,0.03125,1,0.9
150,:,1612291658.239,4.382,0,223,0,0,3602412539,0.03125,1,0.9
151,:,1612291658.25,4.387,0,223,0,0,3602412539,0.125,1,0.9
