Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
162,:,1612282327.579,5.279,0,228,0,0,4047805392,0.125,1,0.95
161,:,1612282327.512,5.441,0,228,0,0,3390822559,0.25,1,0.9
165,:,1612282327.974,5.203,0,228,0,0,733348321,0.5,1,0.9
164,:,1612282327.894,5.415,0,228,0,0,991818103,0.25,5,0.8
163,:,1612282327.709,5.668,0,228,0,0,2289609983,0.5,25,0.95
172,:,1612282328.26,5.266,0,228,0,0,991818103,0.0625,1,0.95
169,:,1612282328.16,5.414,0,228,0,0,2182315642,2,5,0.9
170,:,1612282328.246,5.392,0,228,0,0,2289609983,0.125,5,0.95
171,:,1612282328.253,5.392,0,228,0,0,1953635580,0.125,5,0.95
173,:,1612282328.297,5.386,0,228,0,0,4017802264,0.0625,1,0.9
174,:,1612282328.311,5.447,0,228,0,0,4173556719,1,5,0.8
166,:,1612282328.042,5.786,0,228,0,0,733348321,0.25,25,0.9
167,:,1612282328.054,5.781,0,228,0,0,2289609983,2,25,0.9
168,:,1612282328.082,5.773,0,228,0,0,90715284,2,25,0.9
175,:,1612282328.423,5.446,0,228,0,0,384799037,0.125,5,0.95
176,:,1612282328.45,5.425,0,228,0,0,3390822559,1,1,0.8
177,:,1612282328.466,5.43,0,228,0,0,240309497,0.5,5,0.95
178,:,1612282328.51,5.428,0,228,0,0,733348321,1,5,0.9
179,:,1612282328.634,5.401,0,228,0,0,3390822559,2,5,0.8
180,:,1612282328.787,5.388,0,228,0,0,240309497,0.0625,5,0.95
181,:,1612282328.81,5.371,0,228,0,0,3543305936,0.5,1,0.95
182,:,1612282328.846,5.355,0,228,0,0,4047805392,0.5,1,0.8
186,:,1612282328.94,5.28,0,228,0,0,90715284,1,1,0.9
184,:,1612282328.909,5.351,0,228,0,0,3390822559,1,5,0.95
187,:,1612282328.961,5.449,0,228,0,0,3602412539,1,5,0.95
183,:,1612282328.881,5.641,0,228,0,0,4173556719,0.5,5,0.9
188,:,1612282329.082,5.509,0,228,0,0,2034693659,1,5,0.95
189,:,1612282329.287,5.324,0,228,0,0,4047805392,0.25,1,0.9
185,:,1612282328.917,5.792,0,228,0,0,2182315642,0.25,25,0.95
