Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT,REWARD_OFFSET,USE_BIAS,Stdout,Stderr
9,:,1622677774.601,17.177,0,215,0,0,"taskset -c $((9 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2390141961       --gin_param LEARNING_RATE=.00781250000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=0.3       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/9/",2390141961,.00781250000000000000,25,0.9,0.3,False,"Using result dir: results/chain_rollout/implicit/202106021949/9/
","W0602 19:49:35.626785 140453723207488 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
24,:,1622677774.667,17.118,0,216,0,0,"taskset -c $((24 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2390141961       --gin_param LEARNING_RATE=.06250000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.8       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/24/",2390141961,.06250000000000000000,25,0.95,0.8,False,"Using result dir: results/chain_rollout/implicit/202106021949/24/
","W0602 19:49:35.716771 139929006040896 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
25,:,1622677774.672,17.120,0,216,0,0,"taskset -c $((25 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=3390822559       --gin_param LEARNING_RATE=.03125000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.7       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/25/",3390822559,.03125000000000000000,25,0.8,0.7,False,"Using result dir: results/chain_rollout/implicit/202106021949/25/
","W0602 19:49:35.713436 139935853418304 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
26,:,1622677774.678,17.121,0,216,0,0,"taskset -c $((26 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=4047805392       --gin_param LEARNING_RATE=.06250000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/26/",4047805392,.06250000000000000000,25,0.975,0.,False,"Using result dir: results/chain_rollout/implicit/202106021949/26/
","W0602 19:49:35.702395 140474881795904 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
27,:,1622677774.683,17.122,0,216,0,0,"taskset -c $((27 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=4017802264       --gin_param LEARNING_RATE=.00390625000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.9       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/27/",4017802264,.00390625000000000000,25,0.8,0.9,False,"Using result dir: results/chain_rollout/implicit/202106021949/27/
","W0602 19:49:35.734079 139954305288000 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
28,:,1622677774.689,17.124,0,216,0,0,"taskset -c $((28 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=3543305936       --gin_param LEARNING_RATE=.00390625000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.6       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/28/",3543305936,.00390625000000000000,25,0.975,0.6,False,"Using result dir: results/chain_rollout/implicit/202106021949/28/
","W0602 19:49:35.738944 140672555333440 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
29,:,1622677774.695,17.125,0,216,0,0,"taskset -c $((29 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=4047805392       --gin_param LEARNING_RATE=.00390625000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=0.9       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/29/",4047805392,.00390625000000000000,25,0.9,0.9,False,"Using result dir: results/chain_rollout/implicit/202106021949/29/
","W0602 19:49:35.721738 139991389058880 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
30,:,1622677774.701,17.125,0,216,0,0,"taskset -c $((30 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2390141961       --gin_param LEARNING_RATE=.01562500000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.4       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/30/",2390141961,.01562500000000000000,25,0.975,0.4,False,"Using result dir: results/chain_rollout/implicit/202106021949/30/
","W0602 19:49:35.748918 140161572431680 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
31,:,1622677774.713,17.121,0,216,0,0,"taskset -c $((31 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=384799037       --gin_param LEARNING_RATE=.00781250000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.1       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/31/",384799037,.00781250000000000000,25,0.8,0.1,False,"Using result dir: results/chain_rollout/implicit/202106021949/31/
","W0602 19:49:35.752851 140658247350080 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
32,:,1622677774.721,17.120,0,216,0,0,"taskset -c $((32 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=733348321       --gin_param LEARNING_RATE=.12500000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=0.5       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/32/",733348321,.12500000000000000000,25,0.9,0.5,False,"Using result dir: results/chain_rollout/implicit/202106021949/32/
","W0602 19:49:35.777143 140593165813568 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
11,:,1622677774.608,17.443,0,216,0,0,"taskset -c $((11 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=3602412539       --gin_param LEARNING_RATE=.03125000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.6       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/11/",3602412539,.03125000000000000000,25,0.95,0.6,False,"Using result dir: results/chain_rollout/implicit/202106021949/11/
","W0602 19:49:35.655024 140308279260992 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
23,:,1622677774.662,17.832,0,216,0,0,"taskset -c $((23 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/implicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=1395720285       --gin_param LEARNING_RATE=.00390625000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=1       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/implicit/202106021949/23/",1395720285,.00390625000000000000,25,0.95,1,False,"Using result dir: results/chain_rollout/implicit/202106021949/23/
","W0602 19:49:35.783301 140288304920384 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
